model,family,arm,checkpoint,step,layer,module,angle_k,theta_u_mean_deg,theta_u_max_deg,theta_v_mean_deg,theta_v_max_deg,pabs_mean_cos_u,pabs_mean_cos_v,pabs_joint_mean_cos,theta_u_all_deg_json,theta_v_all_deg_json,nss_l1_top32,nss_l2_top32,source_normalized_spectrum_top32_json,checkpoint_normalized_spectrum_top32_json,nss_formula,delta_construction,native_source,checkpoint_materialization,base_tensor_sha256,checkpoint_tensor_sha256
llama,llama3_2_3b,opd,5,5,14,self_attn.q_proj,4,1.832401113021348,2.102246012337912,0.0,0.0,0.9994732854852872,1.0,0.9997366427426436,"[1.2925811936604563, 1.9306298360869902, 2.004147410000033, 2.102246012337912]","[0.0, 0.0, 0.0, 0.0]",0.3217419412583294,0.0585485005580919,"[0.04850096821185069, 0.024938529858017568, 0.024030037263347633, 0.02372607035123484, 0.02287985499143695, 0.022200089900035833, 0.021743417642518748, 0.021281284867910914, 0.021138878851724417, 0.020818427395047214, 0.020665210828392653, 0.02052206513310778, 0.02029483384148351, 0.020240859738566323, 0.020024616894914783, 0.019924323899597196, 0.019741037036837293, 0.01961281038807573, 0.019548070677217973, 0.019464559970709457, 0.01934030137260471, 0.0193085794386139, 0.019169720136888946, 0.019040892381822126, 0.019022364824861967, 0.018966677288084, 0.018867474149058185, 0.018810722972462814, 0.01873477197360016, 0.018649869921344583, 0.018557267716044722, 0.01849351299558125]","[0.07150995630484257, 0.03676844501743486, 0.035428408508951896, 0.0349776180586862, 0.03373459834263891, 0.03272997126390326, 0.03205590305136392, 0.03137501036921838, 0.031170221066877064, 0.030696721034499483, 0.030466066661065744, 0.030258414504767454, 0.02992285875750835, 0.02984371754788017, 0.029525206410389943, 0.02937461256227163, 0.029108369904981297, 0.028918466338933108, 0.02882113482581171, 0.028696582734083063, 0.028516951761645173, 0.028469696726754687, 0.028262505608653905, 0.0280725854783591, 0.02804396246020495, 0.02796276452328849, 0.027814528319605326, 0.027730972738253718, 0.027623887644582682, 0.027498363783719174, 0.02735469655139453, 0.027266845308753583]",L1/L2 distance between top-32 sum-normalized singular spectra of BF16 deployed checkpoint and BF16 base.,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9c682bca39305e2978e83cb65d760a408d36df022ba62dcfae777c067346aca6
llama,llama3_2_3b,opd,5,5,14,self_attn.q_proj,8,1.86544884102085,2.105047330798698,0.0,0.0,0.9994613397703151,1.0,0.9997306698851576,"[1.2924722296802882, 1.7448902818492327, 1.888177708521958, 1.9202380430246448, 1.9332874714350112, 2.0027488204026196, 2.0367288424543477, 2.105047330798698]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3217419412583294,0.0585485005580919,"[0.04850096821185069, 0.024938529858017568, 0.024030037263347633, 0.02372607035123484, 0.02287985499143695, 0.022200089900035833, 0.021743417642518748, 0.021281284867910914, 0.021138878851724417, 0.020818427395047214, 0.020665210828392653, 0.02052206513310778, 0.02029483384148351, 0.020240859738566323, 0.020024616894914783, 0.019924323899597196, 0.019741037036837293, 0.01961281038807573, 0.019548070677217973, 0.019464559970709457, 0.01934030137260471, 0.0193085794386139, 0.019169720136888946, 0.019040892381822126, 0.019022364824861967, 0.018966677288084, 0.018867474149058185, 0.018810722972462814, 0.01873477197360016, 0.018649869921344583, 0.018557267716044722, 0.01849351299558125]","[0.07150995630484257, 0.03676844501743486, 0.035428408508951896, 0.0349776180586862, 0.03373459834263891, 0.03272997126390326, 0.03205590305136392, 0.03137501036921838, 0.031170221066877064, 0.030696721034499483, 0.030466066661065744, 0.030258414504767454, 0.02992285875750835, 0.02984371754788017, 0.029525206410389943, 0.02937461256227163, 0.029108369904981297, 0.028918466338933108, 0.02882113482581171, 0.028696582734083063, 0.028516951761645173, 0.028469696726754687, 0.028262505608653905, 0.0280725854783591, 0.02804396246020495, 0.02796276452328849, 0.027814528319605326, 0.027730972738253718, 0.027623887644582682, 0.027498363783719174, 0.02735469655139453, 0.027266845308753583]",L1/L2 distance between top-32 sum-normalized singular spectra of BF16 deployed checkpoint and BF16 base.,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9c682bca39305e2978e83cb65d760a408d36df022ba62dcfae777c067346aca6
llama,llama3_2_3b,opd,5,5,14,self_attn.q_proj,16,1.7163484394479525,2.1057392707448166,0.0,0.0,0.999541519948753,1.0,0.9997707599743764,"[1.2563420828072218, 1.2924207331823143, 1.485103398282667, 1.4959829728771932, 1.5231118421911352, 1.5746379806759725, 1.6467838303924507, 1.7010416312956667, 1.7490438048269372, 1.834942172128718, 1.8905648380950644, 1.9219787957877086, 1.935233004562548, 2.0051645950463888, 2.0434840782704367, 2.1057392707448166]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3217419412583294,0.0585485005580919,"[0.04850096821185069, 0.024938529858017568, 0.024030037263347633, 0.02372607035123484, 0.02287985499143695, 0.022200089900035833, 0.021743417642518748, 0.021281284867910914, 0.021138878851724417, 0.020818427395047214, 0.020665210828392653, 0.02052206513310778, 0.02029483384148351, 0.020240859738566323, 0.020024616894914783, 0.019924323899597196, 0.019741037036837293, 0.01961281038807573, 0.019548070677217973, 0.019464559970709457, 0.01934030137260471, 0.0193085794386139, 0.019169720136888946, 0.019040892381822126, 0.019022364824861967, 0.018966677288084, 0.018867474149058185, 0.018810722972462814, 0.01873477197360016, 0.018649869921344583, 0.018557267716044722, 0.01849351299558125]","[0.07150995630484257, 0.03676844501743486, 0.035428408508951896, 0.0349776180586862, 0.03373459834263891, 0.03272997126390326, 0.03205590305136392, 0.03137501036921838, 0.031170221066877064, 0.030696721034499483, 0.030466066661065744, 0.030258414504767454, 0.02992285875750835, 0.02984371754788017, 0.029525206410389943, 0.02937461256227163, 0.029108369904981297, 0.028918466338933108, 0.02882113482581171, 0.028696582734083063, 0.028516951761645173, 0.028469696726754687, 0.028262505608653905, 0.0280725854783591, 0.02804396246020495, 0.02796276452328849, 0.027814528319605326, 0.027730972738253718, 0.027623887644582682, 0.027498363783719174, 0.02735469655139453, 0.027266845308753583]",L1/L2 distance between top-32 sum-normalized singular spectra of BF16 deployed checkpoint and BF16 base.,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9c682bca39305e2978e83cb65d760a408d36df022ba62dcfae777c067346aca6
llama,llama3_2_3b,opd,5,5,14,self_attn.q_proj,32,1.919745011103332,3.007289166471402,0.0,0.0,0.999418115963839,1.0,0.9997090579819194,"[1.240462154473151, 1.292046027524937, 1.4513310578767973, 1.467793502978508, 1.5038727722276182, 1.5557221542900312, 1.6094706772893594, 1.6367505364838237, 1.700753325286913, 1.7432419723124764, 1.7490158305716128, 1.783479382490174, 1.8422387969925895, 1.8843406640988944, 1.8945491043300358, 1.9217086164753578, 1.934335858757118, 1.9648698445397266, 1.9971969250307817, 2.0036368670717075, 2.0377539481769857, 2.0415849203974012, 2.071264434302454, 2.1058781041539008, 2.1327317730537625, 2.1580268456326714, 2.1886598124351027, 2.218156414954441, 2.264858091421756, 2.3356197879250242, 2.6932009852801038, 3.007289166471402]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3217419412583294,0.0585485005580919,"[0.04850096821185069, 0.024938529858017568, 0.024030037263347633, 0.02372607035123484, 0.02287985499143695, 0.022200089900035833, 0.021743417642518748, 0.021281284867910914, 0.021138878851724417, 0.020818427395047214, 0.020665210828392653, 0.02052206513310778, 0.02029483384148351, 0.020240859738566323, 0.020024616894914783, 0.019924323899597196, 0.019741037036837293, 0.01961281038807573, 0.019548070677217973, 0.019464559970709457, 0.01934030137260471, 0.0193085794386139, 0.019169720136888946, 0.019040892381822126, 0.019022364824861967, 0.018966677288084, 0.018867474149058185, 0.018810722972462814, 0.01873477197360016, 0.018649869921344583, 0.018557267716044722, 0.01849351299558125]","[0.07150995630484257, 0.03676844501743486, 0.035428408508951896, 0.0349776180586862, 0.03373459834263891, 0.03272997126390326, 0.03205590305136392, 0.03137501036921838, 0.031170221066877064, 0.030696721034499483, 0.030466066661065744, 0.030258414504767454, 0.02992285875750835, 0.02984371754788017, 0.029525206410389943, 0.02937461256227163, 0.029108369904981297, 0.028918466338933108, 0.02882113482581171, 0.028696582734083063, 0.028516951761645173, 0.028469696726754687, 0.028262505608653905, 0.0280725854783591, 0.02804396246020495, 0.02796276452328849, 0.027814528319605326, 0.027730972738253718, 0.027623887644582682, 0.027498363783719174, 0.02735469655139453, 0.027266845308753583]",L1/L2 distance between top-32 sum-normalized singular spectra of BF16 deployed checkpoint and BF16 base.,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,9c682bca39305e2978e83cb65d760a408d36df022ba62dcfae777c067346aca6
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,4,1.7748157824254809,2.038918364934282,0.0,0.0,0.999503223615834,1.0,0.9997516118079168,"[1.2010140787683707, 1.9081980315392126, 1.9511326544600576, 2.038918364934282]","[0.0, 0.0, 0.0, 0.0]",0.3217419329769576,0.0585488337681251,"[0.04850096821185069, 0.024938529858017568, 0.024030037263347633, 0.02372607035123484, 0.02287985499143695, 0.022200089900035833, 0.021743417642518748, 0.021281284867910914, 0.021138878851724417, 0.020818427395047214, 0.020665210828392653, 0.02052206513310778, 0.02029483384148351, 0.020240859738566323, 0.020024616894914783, 0.019924323899597196, 0.019741037036837293, 0.01961281038807573, 0.019548070677217973, 0.019464559970709457, 0.01934030137260471, 0.0193085794386139, 0.019169720136888946, 0.019040892381822126, 0.019022364824861967, 0.018966677288084, 0.018867474149058185, 0.018810722972462814, 0.01873477197360016, 0.018649869921344583, 0.018557267716044722, 0.01849351299558125]","[0.07151132103825282, 0.036767621900389104, 0.035426867143302905, 0.03497939397706082, 0.033732900038906916, 0.03273299216013253, 0.032058382527967215, 0.03137812989097229, 0.031170862654872324, 0.030693435182171658, 0.030464272314318416, 0.03025503941313103, 0.029922425137755577, 0.029844052524691404, 0.029525106799664008, 0.02937451531999614, 0.029107656959019814, 0.028917928866600162, 0.028819987947160095, 0.028695350424636664, 0.028521808700766937, 0.02847745148031808, 0.02825534789003301, 0.028071652070388656, 0.028044353620410547, 0.02796215734702885, 0.02781461927408386, 0.02773157544567149, 0.027623737181655016, 0.027497006998827844, 0.027358913504905418, 0.02726317015486084]",L1/L2 distance between top-32 sum-normalized singular spectra of BF16 deployed checkpoint and BF16 base.,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,8,1.793326073309518,2.092668031863406,0.0,0.0,0.999498902628276,1.0,0.999749451314138,"[1.2009608934461518, 1.5872021770850904, 1.7163099319412312, 1.8349538960860468, 1.9115187472067585, 1.9626811267027366, 2.040313782144723, 2.092668031863406]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3217419329769576,0.0585488337681251,"[0.04850096821185069, 0.024938529858017568, 0.024030037263347633, 0.02372607035123484, 0.02287985499143695, 0.022200089900035833, 0.021743417642518748, 0.021281284867910914, 0.021138878851724417, 0.020818427395047214, 0.020665210828392653, 0.02052206513310778, 0.02029483384148351, 0.020240859738566323, 0.020024616894914783, 0.019924323899597196, 0.019741037036837293, 0.01961281038807573, 0.019548070677217973, 0.019464559970709457, 0.01934030137260471, 0.0193085794386139, 0.019169720136888946, 0.019040892381822126, 0.019022364824861967, 0.018966677288084, 0.018867474149058185, 0.018810722972462814, 0.01873477197360016, 0.018649869921344583, 0.018557267716044722, 0.01849351299558125]","[0.07151132103825282, 0.036767621900389104, 0.035426867143302905, 0.03497939397706082, 0.033732900038906916, 0.03273299216013253, 0.032058382527967215, 0.03137812989097229, 0.031170862654872324, 0.030693435182171658, 0.030464272314318416, 0.03025503941313103, 0.029922425137755577, 0.029844052524691404, 0.029525106799664008, 0.02937451531999614, 0.029107656959019814, 0.028917928866600162, 0.028819987947160095, 0.028695350424636664, 0.028521808700766937, 0.02847745148031808, 0.02825534789003301, 0.028071652070388656, 0.028044353620410547, 0.02796215734702885, 0.02781461927408386, 0.02773157544567149, 0.027623737181655016, 0.027497006998827844, 0.027358913504905418, 0.02726317015486084]",L1/L2 distance between top-32 sum-normalized singular spectra of BF16 deployed checkpoint and BF16 base.,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,16,1.734724825474185,2.098370012522472,0.0,0.0,0.9995343534121318,1.0,0.999767176706066,"[1.2008614060154563, 1.5011688122495728, 1.550148246677304, 1.5835378161411509, 1.6276411159513131, 1.6291540469006223, 1.678244157253646, 1.6998488086116914, 1.7584847408140698, 1.7851783507433383, 1.838935903651577, 1.881804040496, 1.9120361000902473, 1.967670566550838, 2.04251308291766, 2.098370012522472]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3217419329769576,0.0585488337681251,"[0.04850096821185069, 0.024938529858017568, 0.024030037263347633, 0.02372607035123484, 0.02287985499143695, 0.022200089900035833, 0.021743417642518748, 0.021281284867910914, 0.021138878851724417, 0.020818427395047214, 0.020665210828392653, 0.02052206513310778, 0.02029483384148351, 0.020240859738566323, 0.020024616894914783, 0.019924323899597196, 0.019741037036837293, 0.01961281038807573, 0.019548070677217973, 0.019464559970709457, 0.01934030137260471, 0.0193085794386139, 0.019169720136888946, 0.019040892381822126, 0.019022364824861967, 0.018966677288084, 0.018867474149058185, 0.018810722972462814, 0.01873477197360016, 0.018649869921344583, 0.018557267716044722, 0.01849351299558125]","[0.07151132103825282, 0.036767621900389104, 0.035426867143302905, 0.03497939397706082, 0.033732900038906916, 0.03273299216013253, 0.032058382527967215, 0.03137812989097229, 0.031170862654872324, 0.030693435182171658, 0.030464272314318416, 0.03025503941313103, 0.029922425137755577, 0.029844052524691404, 0.029525106799664008, 0.02937451531999614, 0.029107656959019814, 0.028917928866600162, 0.028819987947160095, 0.028695350424636664, 0.028521808700766937, 0.02847745148031808, 0.02825534789003301, 0.028071652070388656, 0.028044353620410547, 0.02796215734702885, 0.02781461927408386, 0.02773157544567149, 0.027623737181655016, 0.027497006998827844, 0.027358913504905418, 0.02726317015486084]",L1/L2 distance between top-32 sum-normalized singular spectra of BF16 deployed checkpoint and BF16 base.,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,20,20,14,self_attn.q_proj,32,1.9425665282199045,2.84648122121837,0.0,0.0,0.9994081492846804,1.0,0.9997040746423402,"[1.1999456319753405, 1.482154455807136, 1.5306467647748807, 1.5715985611676953, 1.5960925779311206, 1.610196003527785, 1.6481659140671974, 1.6629886553847144, 1.7451824569700638, 1.7546569668002239, 1.7816677186261844, 1.7878908903280275, 1.839647095733526, 1.8559730626434683, 1.9103009843817422, 1.9265835642286693, 1.93170647328679, 1.967891122629012, 1.9717186239366262, 2.009117500984132, 2.0272135934703135, 2.042592466542875, 2.098333573337679, 2.128194943290802, 2.1773545883920247, 2.2127664249508276, 2.2577050289784437, 2.2748944052324735, 2.3536260455420446, 2.3915427749232836, 2.5672988119734694, 2.84648122121837]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3217419329769576,0.0585488337681251,"[0.04850096821185069, 0.024938529858017568, 0.024030037263347633, 0.02372607035123484, 0.02287985499143695, 0.022200089900035833, 0.021743417642518748, 0.021281284867910914, 0.021138878851724417, 0.020818427395047214, 0.020665210828392653, 0.02052206513310778, 0.02029483384148351, 0.020240859738566323, 0.020024616894914783, 0.019924323899597196, 0.019741037036837293, 0.01961281038807573, 0.019548070677217973, 0.019464559970709457, 0.01934030137260471, 0.0193085794386139, 0.019169720136888946, 0.019040892381822126, 0.019022364824861967, 0.018966677288084, 0.018867474149058185, 0.018810722972462814, 0.01873477197360016, 0.018649869921344583, 0.018557267716044722, 0.01849351299558125]","[0.07151132103825282, 0.036767621900389104, 0.035426867143302905, 0.03497939397706082, 0.033732900038906916, 0.03273299216013253, 0.032058382527967215, 0.03137812989097229, 0.031170862654872324, 0.030693435182171658, 0.030464272314318416, 0.03025503941313103, 0.029922425137755577, 0.029844052524691404, 0.029525106799664008, 0.02937451531999614, 0.029107656959019814, 0.028917928866600162, 0.028819987947160095, 0.028695350424636664, 0.028521808700766937, 0.02847745148031808, 0.02825534789003301, 0.028071652070388656, 0.028044353620410547, 0.02796215734702885, 0.02781461927408386, 0.02773157544567149, 0.027623737181655016, 0.027497006998827844, 0.027358913504905418, 0.02726317015486084]",L1/L2 distance between top-32 sum-normalized singular spectra of BF16 deployed checkpoint and BF16 base.,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,c51d9f85a60d1929696ac2770829873b3f1aeba1c07b9bedbeee6dd94689f724
llama,llama3_2_3b,opd,40,40,14,self_attn.q_proj,4,1.876401573427505,2.087816570420046,0.0,0.0,0.999452409119729,1.0,0.9997262045598644,"[1.4070200458338211, 1.9871959636429317, 2.023573713813221, 2.087816570420046]","[0.0, 0.0, 0.0, 0.0]",0.3217419302152994,0.0585472456202949,"[0.04850096821185069, 0.024938529858017568, 0.024030037263347633, 0.02372607035123484, 0.02287985499143695, 0.022200089900035833, 0.021743417642518748, 0.021281284867910914, 0.021138878851724417, 0.020818427395047214, 0.020665210828392653, 0.02052206513310778, 0.02029483384148351, 0.020240859738566323, 0.020024616894914783, 0.019924323899597196, 0.019741037036837293, 0.01961281038807573, 0.019548070677217973, 0.019464559970709457, 0.01934030137260471, 0.0193085794386139, 0.019169720136888946, 0.019040892381822126, 0.019022364824861967, 0.018966677288084, 0.018867474149058185, 0.018810722972462814, 0.01873477197360016, 0.018649869921344583, 0.018557267716044722, 0.01849351299558125]","[0.07150526973984749, 0.03676684655477666, 0.035423160180426405, 0.03497742174235569, 0.033732137444610594, 0.0327343325474713, 0.03206083984731302, 0.031377866933624765, 0.031169122791038468, 0.03069518665320215, 0.030466132105566358, 0.030257004226905318, 0.029923175927408927, 0.02984656398632853, 0.02952419531594189, 0.029374645913748585, 0.02910730057937411, 0.028915821799460034, 0.028823051532872675, 0.028697025980268433, 0.02852056536040183, 0.028474831750227858, 0.028258313501264044, 0.028072060709763546, 0.028044197053631353, 0.027963057579007227, 0.02781327351806318, 0.027733216234383653, 0.027620811932087173, 0.027495951391163086, 0.027359606374908578, 0.02726704592085129]",L1/L2 distance between top-32 sum-normalized singular spectra of BF16 deployed checkpoint and BF16 base.,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,0ce80800298e3de90ef81d035212e6d1ab07f8f833c454d70be347d1b1f59cba
llama,llama3_2_3b,opd,40,40,14,self_attn.q_proj,8,1.805932405337536,2.1013187207248776,0.0,0.0,0.999493310725386,1.0,0.999746655362693,"[1.4065675641306976, 1.4971985360552371, 1.637552259126847, 1.726976157470271, 1.9858761242258522, 2.0259049398392093, 2.0660649411272978, 2.1013187207248776]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3217419302152994,0.0585472456202949,"[0.04850096821185069, 0.024938529858017568, 0.024030037263347633, 0.02372607035123484, 0.02287985499143695, 0.022200089900035833, 0.021743417642518748, 0.021281284867910914, 0.021138878851724417, 0.020818427395047214, 0.020665210828392653, 0.02052206513310778, 0.02029483384148351, 0.020240859738566323, 0.020024616894914783, 0.019924323899597196, 0.019741037036837293, 0.01961281038807573, 0.019548070677217973, 0.019464559970709457, 0.01934030137260471, 0.0193085794386139, 0.019169720136888946, 0.019040892381822126, 0.019022364824861967, 0.018966677288084, 0.018867474149058185, 0.018810722972462814, 0.01873477197360016, 0.018649869921344583, 0.018557267716044722, 0.01849351299558125]","[0.07150526973984749, 0.03676684655477666, 0.035423160180426405, 0.03497742174235569, 0.033732137444610594, 0.0327343325474713, 0.03206083984731302, 0.031377866933624765, 0.031169122791038468, 0.03069518665320215, 0.030466132105566358, 0.030257004226905318, 0.029923175927408927, 0.02984656398632853, 0.02952419531594189, 0.029374645913748585, 0.02910730057937411, 0.028915821799460034, 0.028823051532872675, 0.028697025980268433, 0.02852056536040183, 0.028474831750227858, 0.028258313501264044, 0.028072060709763546, 0.028044197053631353, 0.027963057579007227, 0.02781327351806318, 0.027733216234383653, 0.027620811932087173, 0.027495951391163086, 0.027359606374908578, 0.02726704592085129]",L1/L2 distance between top-32 sum-normalized singular spectra of BF16 deployed checkpoint and BF16 base.,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,0ce80800298e3de90ef81d035212e6d1ab07f8f833c454d70be347d1b1f59cba
llama,llama3_2_3b,opd,40,40,14,self_attn.q_proj,16,1.6691503273575,2.104316611596827,0.0,0.0,0.9995665520199304,1.0,0.9997832760099652,"[1.265818086394921, 1.4061200297141714, 1.461360770894615, 1.4924476235117188, 1.5017616213426022, 1.5265466834243864, 1.5511225734271696, 1.6021576219168416, 1.6217048985691958, 1.6522524039340103, 1.7025950699206782, 1.7339153174912285, 1.9871383000550036, 2.027274252187795, 2.069873373338837, 2.104316611596827]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3217419302152994,0.0585472456202949,"[0.04850096821185069, 0.024938529858017568, 0.024030037263347633, 0.02372607035123484, 0.02287985499143695, 0.022200089900035833, 0.021743417642518748, 0.021281284867910914, 0.021138878851724417, 0.020818427395047214, 0.020665210828392653, 0.02052206513310778, 0.02029483384148351, 0.020240859738566323, 0.020024616894914783, 0.019924323899597196, 0.019741037036837293, 0.01961281038807573, 0.019548070677217973, 0.019464559970709457, 0.01934030137260471, 0.0193085794386139, 0.019169720136888946, 0.019040892381822126, 0.019022364824861967, 0.018966677288084, 0.018867474149058185, 0.018810722972462814, 0.01873477197360016, 0.018649869921344583, 0.018557267716044722, 0.01849351299558125]","[0.07150526973984749, 0.03676684655477666, 0.035423160180426405, 0.03497742174235569, 0.033732137444610594, 0.0327343325474713, 0.03206083984731302, 0.031377866933624765, 0.031169122791038468, 0.03069518665320215, 0.030466132105566358, 0.030257004226905318, 0.029923175927408927, 0.02984656398632853, 0.02952419531594189, 0.029374645913748585, 0.02910730057937411, 0.028915821799460034, 0.028823051532872675, 0.028697025980268433, 0.02852056536040183, 0.028474831750227858, 0.028258313501264044, 0.028072060709763546, 0.028044197053631353, 0.027963057579007227, 0.02781327351806318, 0.027733216234383653, 0.027620811932087173, 0.027495951391163086, 0.027359606374908578, 0.02726704592085129]",L1/L2 distance between top-32 sum-normalized singular spectra of BF16 deployed checkpoint and BF16 base.,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,0ce80800298e3de90ef81d035212e6d1ab07f8f833c454d70be347d1b1f59cba
llama,llama3_2_3b,opd,40,40,14,self_attn.q_proj,32,1.876016058354037,2.822069789073793,0.0,0.0,0.9994453043594078,1.0,0.999722652179704,"[1.2460050489575658, 1.4056459395834218, 1.4301900321745835, 1.469146627873169, 1.4948527315273152, 1.513642706033384, 1.5350620893338667, 1.573977678099709, 1.5846282432712129, 1.6109130495162958, 1.6526296410670354, 1.712377446795005, 1.7284784463160068, 1.7805587141442523, 1.7962769511706458, 1.8243130853548233, 1.8333977488177229, 1.9625428755554415, 1.986720246549115, 2.0001469187365033, 2.0275548706846873, 2.044036562554639, 2.0791390661096947, 2.0916594837671902, 2.110557009560449, 2.1405246601775643, 2.220874935189123, 2.2441021651439885, 2.3034752171975774, 2.3597064120761466, 2.4473074749172605, 2.822069789073793]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3217419302152994,0.0585472456202949,"[0.04850096821185069, 0.024938529858017568, 0.024030037263347633, 0.02372607035123484, 0.02287985499143695, 0.022200089900035833, 0.021743417642518748, 0.021281284867910914, 0.021138878851724417, 0.020818427395047214, 0.020665210828392653, 0.02052206513310778, 0.02029483384148351, 0.020240859738566323, 0.020024616894914783, 0.019924323899597196, 0.019741037036837293, 0.01961281038807573, 0.019548070677217973, 0.019464559970709457, 0.01934030137260471, 0.0193085794386139, 0.019169720136888946, 0.019040892381822126, 0.019022364824861967, 0.018966677288084, 0.018867474149058185, 0.018810722972462814, 0.01873477197360016, 0.018649869921344583, 0.018557267716044722, 0.01849351299558125]","[0.07150526973984749, 0.03676684655477666, 0.035423160180426405, 0.03497742174235569, 0.033732137444610594, 0.0327343325474713, 0.03206083984731302, 0.031377866933624765, 0.031169122791038468, 0.03069518665320215, 0.030466132105566358, 0.030257004226905318, 0.029923175927408927, 0.02984656398632853, 0.02952419531594189, 0.029374645913748585, 0.02910730057937411, 0.028915821799460034, 0.028823051532872675, 0.028697025980268433, 0.02852056536040183, 0.028474831750227858, 0.028258313501264044, 0.028072060709763546, 0.028044197053631353, 0.027963057579007227, 0.02781327351806318, 0.027733216234383653, 0.027620811932087173, 0.027495951391163086, 0.027359606374908578, 0.02726704592085129]",L1/L2 distance between top-32 sum-normalized singular spectra of BF16 deployed checkpoint and BF16 base.,bf16_merged_minus_base,saved_merged_bf16,serialized_bf16_deployed_merged_checkpoint,68a7c5a1e7f0af5e261ec481d3c4785841d00fd15e7cc2caf5ea0f41abaf11bc,0ce80800298e3de90ef81d035212e6d1ab07f8f833c454d70be347d1b1f59cba
