model,checkpoint,probe_name,epsilon,metric,auxiliary_result,not_state_rank_robustness,deepest_arm,opd_deepest,deepest_direction,opd_value,nearest_offline_value,nearest_offline_minus_opd_margin,opd_minus_nearest_offline_margin,arm_values_json
llama,20,E_if,0.025,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.1328866701474138,1.4098174087892985,0.27693073864188467,-0.27693073864188467,"{""offkd"": 1.4953243703320054, ""opd"": 1.1328866701474138, ""seqkd"": 1.5075785481231512, ""sft"": 1.4098174087892985}"
llama,20,E_if,0.025,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.9565970682951261,3.702211144040727,1.745614075745601,-1.745614075745601,"{""offkd"": 4.367838561695218, ""opd"": 1.9565970682951261, ""seqkd"": 4.582686521298883, ""sft"": 3.702211144040727}"
llama,20,E_math,0.025,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.0588308431836242,1.2698106210209408,0.21097977783731658,-0.21097977783731658,"{""offkd"": 1.2698106210209408, ""opd"": 1.0588308431836242, ""seqkd"": 1.3033373565175066, ""sft"": 1.270760648612286}"
llama,20,E_math,0.025,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.4296060146826635,3.033163343279336,1.6035573285966727,-1.6035573285966727,"{""offkd"": 3.0504021904058627, ""opd"": 1.4296060146826635, ""seqkd"": 3.324941496709047, ""sft"": 3.033163343279336}"
llama,20,E_ood,0.025,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.0852664257319247,1.3227847128967836,0.2375182871648589,-0.2375182871648589,"{""offkd"": 1.3615054742240766, ""opd"": 1.0852664257319247, ""seqkd"": 1.4327958252682491, ""sft"": 1.3227847128967836}"
llama,20,E_ood,0.025,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.6187784420054732,3.4362956743179653,1.8175172323124922,-1.8175172323124922,"{""offkd"": 3.7800430947018078, ""opd"": 1.6187784420054732, ""seqkd"": 4.307045712999699, ""sft"": 3.4362956743179653}"
llama,40,E_general,0.025,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.208421429619801,1.4540033630678013,0.24558193344800028,-0.24558193344800028,"{""offkd"": 1.613866955299309, ""opd"": 1.208421429619801, ""seqkd"": 1.616786428000937, ""sft"": 1.4540033630678013}"
llama,40,E_general,0.025,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,2.5235465498637,4.377715200789053,1.8541686509253532,-1.8541686509253532,"{""offkd"": 5.791287682993094, ""opd"": 2.5235465498637, ""seqkd"": 5.8297811429804725, ""sft"": 4.377715200789053}"
llama,40,E_if,0.025,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.126931684314521,1.4415243803501936,0.31459269603567264,-0.31459269603567264,"{""offkd"": 1.492114248593095, ""opd"": 1.126931684314521, ""seqkd"": 1.4480702896607007, ""sft"": 1.4415243803501936}"
llama,40,E_if,0.025,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.9179139784588857,3.5806405402072707,1.662726561748385,-1.662726561748385,"{""offkd"": 4.1145394302608445, ""opd"": 1.9179139784588857, ""seqkd"": 4.10443626873777, ""sft"": 3.5806405402072707}"
llama,40,E_math,0.025,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.0674065666338766,1.266806019886722,0.19939945325284536,-0.19939945325284536,"{""offkd"": 1.266806019886722, ""opd"": 1.0674065666338766, ""seqkd"": 1.269788343651058, ""sft"": 1.291210525134603}"
llama,40,E_math,0.025,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.4893346469248638,3.015395216214849,1.5260605692899851,-1.5260605692899851,"{""offkd"": 3.015395216214849, ""opd"": 1.4893346469248638, ""seqkd"": 3.05255529840628, ""sft"": 3.1029735372694267}"
llama,40,E_ood,0.025,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.097723252938771,1.3134183676717932,0.21569511473302216,-0.21569511473302216,"{""offkd"": 1.3304175355796724, ""opd"": 1.097723252938771, ""seqkd"": 1.3680361778311916, ""sft"": 1.3134183676717932}"
llama,40,E_ood,0.025,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.7088354783951532,3.3005284913513933,1.59169301295624,-1.59169301295624,"{""offkd"": 3.533912619252758, ""opd"": 1.7088354783951532, ""seqkd"": 3.794155757388127, ""sft"": 3.3005284913513933}"
llama,80,E_general,0.025,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.2368110155218974,1.4802049386954672,0.24339392317356978,-0.24339392317356978,"{""offkd"": 1.6230290655869895, ""opd"": 1.2368110155218974, ""seqkd"": 1.631258873391927, ""sft"": 1.4802049386954672}"
llama,80,E_general,0.025,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,2.7095981521616967,4.36572717202369,1.6561290198619933,-1.6561290198619933,"{""offkd"": 5.890197720174446, ""opd"": 2.7095981521616967, ""seqkd"": 5.95657570851589, ""sft"": 4.36572717202369}"
llama,80,E_if,0.025,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.1303359321683308,1.4725559900507537,0.3422200578824228,-0.3422200578824228,"{""offkd"": 1.5131170851689428, ""opd"": 1.1303359321683308, ""seqkd"": 1.4725559900507537, ""sft"": 1.4874656797828636}"
llama,80,E_if,0.025,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.9432317816342366,3.5377613168797075,1.594529535245471,-1.594529535245471,"{""offkd"": 4.205238068181241, ""opd"": 1.9432317816342366, ""seqkd"": 4.238245670936739, ""sft"": 3.5377613168797075}"
llama,80,E_math,0.025,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.0858785370469104,1.2880176703708526,0.20213913332394218,-0.20213913332394218,"{""offkd"": 1.2880176703708526, ""opd"": 1.0858785370469104, ""seqkd"": 1.3023431069429348, ""sft"": 1.4159442738127546}"
llama,80,E_math,0.025,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.611408194848335,3.203855257501482,1.5924470626531468,-1.5924470626531468,"{""offkd"": 3.203855257501482, ""opd"": 1.611408194848335, ""seqkd"": 3.2952099470148926, ""sft"": 3.3355230999391696}"
llama,80,E_ood,0.025,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.1125474272081048,1.3282524479244102,0.21570502071630537,-0.21570502071630537,"{""offkd"": 1.3282524479244102, ""opd"": 1.1125474272081048, ""seqkd"": 1.384903407924696, ""sft"": 1.3548687982888006}"
llama,80,E_ood,0.025,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.8127386537876158,3.444592016814578,1.631853363026962,-1.631853363026962,"{""offkd"": 3.5345592265932355, ""opd"": 1.8127386537876158, ""seqkd"": 3.9418260220035277, ""sft"": 3.444592016814578}"
llama,20,E_general,0.05,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.199140761031307,1.4640010501577199,0.2648602891264129,-0.2648602891264129,"{""offkd"": 1.6291603388148366, ""opd"": 1.199140761031307, ""seqkd"": 1.6777341356233795, ""sft"": 1.4640010501577199}"
llama,20,E_general,0.05,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,2.468707946818281,4.605075376765688,2.1363674299474074,-2.1363674299474074,"{""offkd"": 5.953293529753971, ""opd"": 2.468707946818281, ""seqkd"": 6.348765862042113, ""sft"": 4.605075376765688}"
llama,20,E_if,0.05,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.1328866701474138,1.4098174087892985,0.27693073864188467,-0.27693073864188467,"{""offkd"": 1.4953243703320054, ""opd"": 1.1328866701474138, ""seqkd"": 1.5075785481231512, ""sft"": 1.4098174087892985}"
llama,20,E_if,0.05,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.9565970682951261,3.702211144040727,1.745614075745601,-1.745614075745601,"{""offkd"": 4.367838561695218, ""opd"": 1.9565970682951261, ""seqkd"": 4.582686521298883, ""sft"": 3.702211144040727}"
llama,20,E_math,0.05,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.0588308431836242,1.2698106210209408,0.21097977783731658,-0.21097977783731658,"{""offkd"": 1.2698106210209408, ""opd"": 1.0588308431836242, ""seqkd"": 1.3033373565175066, ""sft"": 1.270760648612286}"
llama,20,E_math,0.05,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.4296060146826635,3.033163343279336,1.6035573285966727,-1.6035573285966727,"{""offkd"": 3.0504021904058627, ""opd"": 1.4296060146826635, ""seqkd"": 3.324941496709047, ""sft"": 3.033163343279336}"
llama,20,E_ood,0.05,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.0852664257319247,1.3227847128967836,0.2375182871648589,-0.2375182871648589,"{""offkd"": 1.3615054742240766, ""opd"": 1.0852664257319247, ""seqkd"": 1.4327958252682491, ""sft"": 1.3227847128967836}"
llama,20,E_ood,0.05,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.6187784420054732,3.4362956743179653,1.8175172323124922,-1.8175172323124922,"{""offkd"": 3.7800430947018078, ""opd"": 1.6187784420054732, ""seqkd"": 4.307045712999699, ""sft"": 3.4362956743179653}"
llama,40,E_general,0.05,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.208421429619801,1.4540033630678013,0.24558193344800028,-0.24558193344800028,"{""offkd"": 1.613866955299309, ""opd"": 1.208421429619801, ""seqkd"": 1.616786428000937, ""sft"": 1.4540033630678013}"
llama,40,E_general,0.05,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,2.5235465498637,4.377715200789053,1.8541686509253532,-1.8541686509253532,"{""offkd"": 5.791287682993094, ""opd"": 2.5235465498637, ""seqkd"": 5.8297811429804725, ""sft"": 4.377715200789053}"
llama,40,E_if,0.05,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.126931684314521,1.4415243803501936,0.31459269603567264,-0.31459269603567264,"{""offkd"": 1.492114248593095, ""opd"": 1.126931684314521, ""seqkd"": 1.4480702896607007, ""sft"": 1.4415243803501936}"
llama,40,E_if,0.05,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.9179139784588857,3.5806405402072707,1.662726561748385,-1.662726561748385,"{""offkd"": 4.1145394302608445, ""opd"": 1.9179139784588857, ""seqkd"": 4.10443626873777, ""sft"": 3.5806405402072707}"
llama,40,E_math,0.05,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.0674065666338766,1.266806019886722,0.19939945325284536,-0.19939945325284536,"{""offkd"": 1.266806019886722, ""opd"": 1.0674065666338766, ""seqkd"": 1.269788343651058, ""sft"": 1.291210525134603}"
llama,40,E_math,0.05,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.4893346469248638,3.015395216214849,1.5260605692899851,-1.5260605692899851,"{""offkd"": 3.015395216214849, ""opd"": 1.4893346469248638, ""seqkd"": 3.05255529840628, ""sft"": 3.1029735372694267}"
llama,40,E_ood,0.05,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.097723252938771,1.3134183676717932,0.21569511473302216,-0.21569511473302216,"{""offkd"": 1.3304175355796724, ""opd"": 1.097723252938771, ""seqkd"": 1.3680361778311916, ""sft"": 1.3134183676717932}"
llama,40,E_ood,0.05,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.7088354783951532,3.3005284913513933,1.59169301295624,-1.59169301295624,"{""offkd"": 3.533912619252758, ""opd"": 1.7088354783951532, ""seqkd"": 3.794155757388127, ""sft"": 3.3005284913513933}"
llama,80,E_general,0.05,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.2368110155218974,1.4802049386954672,0.24339392317356978,-0.24339392317356978,"{""offkd"": 1.6230290655869895, ""opd"": 1.2368110155218974, ""seqkd"": 1.631258873391927, ""sft"": 1.4802049386954672}"
llama,80,E_general,0.05,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,2.7095981521616967,4.36572717202369,1.6561290198619933,-1.6561290198619933,"{""offkd"": 5.890197720174446, ""opd"": 2.7095981521616967, ""seqkd"": 5.95657570851589, ""sft"": 4.36572717202369}"
llama,80,E_if,0.05,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.1303359321683308,1.4725559900507537,0.3422200578824228,-0.3422200578824228,"{""offkd"": 1.5131170851689428, ""opd"": 1.1303359321683308, ""seqkd"": 1.4725559900507537, ""sft"": 1.4874656797828636}"
llama,80,E_if,0.05,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.9432317816342366,3.5377613168797075,1.594529535245471,-1.594529535245471,"{""offkd"": 4.205238068181241, ""opd"": 1.9432317816342366, ""seqkd"": 4.238245670936739, ""sft"": 3.5377613168797075}"
llama,80,E_math,0.05,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.0858785370469104,1.2880176703708526,0.20213913332394218,-0.20213913332394218,"{""offkd"": 1.2880176703708526, ""opd"": 1.0858785370469104, ""seqkd"": 1.3023431069429348, ""sft"": 1.4159442738127546}"
llama,80,E_math,0.05,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.611408194848335,3.203855257501482,1.5924470626531468,-1.5924470626531468,"{""offkd"": 3.203855257501482, ""opd"": 1.611408194848335, ""seqkd"": 3.2952099470148926, ""sft"": 3.3355230999391696}"
llama,80,E_ood,0.05,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.1125474272081048,1.3282524479244102,0.21570502071630537,-0.21570502071630537,"{""offkd"": 1.3282524479244102, ""opd"": 1.1125474272081048, ""seqkd"": 1.384903407924696, ""sft"": 1.3548687982888006}"
llama,80,E_ood,0.05,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.8127386537876158,3.444592016814578,1.631853363026962,-1.631853363026962,"{""offkd"": 3.5345592265932355, ""opd"": 1.8127386537876158, ""seqkd"": 3.9418260220035277, ""sft"": 3.444592016814578}"
llama,20,E_general,0.1,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.199140761031307,1.4640010501577199,0.2648602891264129,-0.2648602891264129,"{""offkd"": 1.6291603388148366, ""opd"": 1.199140761031307, ""seqkd"": 1.6777341356233795, ""sft"": 1.4640010501577199}"
llama,20,E_general,0.1,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,2.468707946818281,4.605075376765688,2.1363674299474074,-2.1363674299474074,"{""offkd"": 5.953293529753971, ""opd"": 2.468707946818281, ""seqkd"": 6.348765862042113, ""sft"": 4.605075376765688}"
llama,20,E_if,0.1,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.1328866701474138,1.4098174087892985,0.27693073864188467,-0.27693073864188467,"{""offkd"": 1.4953243703320054, ""opd"": 1.1328866701474138, ""seqkd"": 1.5075785481231512, ""sft"": 1.4098174087892985}"
llama,20,E_if,0.1,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.9565970682951261,3.702211144040727,1.745614075745601,-1.745614075745601,"{""offkd"": 4.367838561695218, ""opd"": 1.9565970682951261, ""seqkd"": 4.582686521298883, ""sft"": 3.702211144040727}"
llama,20,E_math,0.1,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.0588308431836242,1.2698106210209408,0.21097977783731658,-0.21097977783731658,"{""offkd"": 1.2698106210209408, ""opd"": 1.0588308431836242, ""seqkd"": 1.3033373565175066, ""sft"": 1.270760648612286}"
llama,20,E_math,0.1,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.4296060146826635,3.033163343279336,1.6035573285966727,-1.6035573285966727,"{""offkd"": 3.0504021904058627, ""opd"": 1.4296060146826635, ""seqkd"": 3.324941496709047, ""sft"": 3.033163343279336}"
llama,20,E_ood,0.1,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.0852664257319247,1.3227847128967836,0.2375182871648589,-0.2375182871648589,"{""offkd"": 1.3615054742240766, ""opd"": 1.0852664257319247, ""seqkd"": 1.4327958252682491, ""sft"": 1.3227847128967836}"
llama,20,E_ood,0.1,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.6187784420054732,3.4362956743179653,1.8175172323124922,-1.8175172323124922,"{""offkd"": 3.7800430947018078, ""opd"": 1.6187784420054732, ""seqkd"": 4.307045712999699, ""sft"": 3.4362956743179653}"
llama,40,E_general,0.1,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.208421429619801,1.4540033630678013,0.24558193344800028,-0.24558193344800028,"{""offkd"": 1.613866955299309, ""opd"": 1.208421429619801, ""seqkd"": 1.616786428000937, ""sft"": 1.4540033630678013}"
llama,40,E_general,0.1,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,2.5235465498637,4.377715200789053,1.8541686509253532,-1.8541686509253532,"{""offkd"": 5.791287682993094, ""opd"": 2.5235465498637, ""seqkd"": 5.8297811429804725, ""sft"": 4.377715200789053}"
llama,40,E_if,0.1,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.126931684314521,1.4415243803501936,0.31459269603567264,-0.31459269603567264,"{""offkd"": 1.492114248593095, ""opd"": 1.126931684314521, ""seqkd"": 1.4480702896607007, ""sft"": 1.4415243803501936}"
llama,40,E_if,0.1,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.9179139784588857,3.5806405402072707,1.662726561748385,-1.662726561748385,"{""offkd"": 4.1145394302608445, ""opd"": 1.9179139784588857, ""seqkd"": 4.10443626873777, ""sft"": 3.5806405402072707}"
llama,40,E_math,0.1,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.0674065666338766,1.266806019886722,0.19939945325284536,-0.19939945325284536,"{""offkd"": 1.266806019886722, ""opd"": 1.0674065666338766, ""seqkd"": 1.269788343651058, ""sft"": 1.291210525134603}"
llama,40,E_math,0.1,entropy_effective_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.4893346469248638,3.015395216214849,1.5260605692899851,-1.5260605692899851,"{""offkd"": 3.015395216214849, ""opd"": 1.4893346469248638, ""seqkd"": 3.05255529840628, ""sft"": 3.1029735372694267}"
llama,40,E_ood,0.1,stable_rank,True,True,opd,True,lower_effective_rank_is_deeper_displacement_compression,1.097723252938771,1.3134183676717932,0.21569511473302216,-0.21569511473302216,"{""offkd"": 1.3304175355796724, ""opd"": 1.097723252938771, ""seqkd"": 1.3680361778311916, ""sft"": 1.3134183676717932}"
